"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"iota[1]",-0.186113967252,0.856685337003368,-1.79637225,1.58516875,4579.44960109491,0.999681141905058
"iota[2]",0.1067049462036,0.932004400379248,-1.67761225,1.9468045,4948.85008582597,0.999175598817195
"iota[3]",0.468545209321767,0.993317018454389,-1.4349535,2.40777175,3755.389092674,0.999749598959809
"iota[4]",-0.250134373128667,0.861898085796264,-1.91289225,1.4872055,4075.73008407336,0.999620921504007
"iota[5]",0.568040308412333,0.787551992370323,-1.05842825,2.12543075,3849.50546452566,0.999216592751165
"iota[6]",-0.532857492585333,1.03722204570184,-2.4892985,1.5110965,3047.65871297085,1.00066230345891
"iota[7]",-0.108088021611333,0.980540056742832,-2.01512525,1.84722975,4764.28532541129,0.99963867409349
"iota[8]",0.262533312741333,1.01068776650835,-1.69307025,2.2656285,4789.24953227983,0.999377417082486
"iota[9]",-0.0220554663016667,0.927733243211134,-1.8078195,1.78833375,4448.55310642253,0.999585685304237
"iota[10]",-0.169171246938667,0.956207373396599,-2.05981675,1.7327815,4987.0245054841,0.999653740879691
"iota[11]",0.350396282459,0.947738362089568,-1.53965975,2.18732225,4361.15492836829,1.00028802784862
"iota[12]",-0.526013653266667,0.975858490441326,-2.360101,1.4173975,3779.68399754202,1.00041766490885
"iota[13]",0.359924470409667,0.981435954153247,-1.541207,2.19946775,3892.61043381664,1.00069457415874
"iota[14]",-0.102627626746667,0.960969393893578,-1.989811,1.77594675,5706.6727130046,0.99935686126703
"iota[15]",0.11868196677,0.963792241417977,-1.802443,1.9669415,5521.19890896154,0.999174485216192
"iota[16]",-0.303508980611533,0.942388549892569,-2.16222875,1.45434525,5051.0151215543,1.00045507868469
"iota[17]",-0.254720656969033,0.998671359983071,-2.144212,1.74242875,4390.2959435589,1.00004426507857
"iota[18]",0.00987418847799998,0.97393794098507,-1.83163725,1.883678,5171.24650798625,0.999231531681877
"iota[19]",0.308836794545333,0.930455734650405,-1.54609675,2.0958295,4995.37752891299,1.00000603032935
"iota[20]",0.222192516561667,0.96276070349398,-1.713978,2.02080075,5104.82055581325,0.999192015274805
"iota[21]",0.4407165021,0.99455289652936,-1.57782125,2.35696475,3766.93340510318,0.999161840093865
"iota[22]",0.0918542544323333,0.925520959330465,-1.771668,1.93965075,4746.71927684908,0.999245920578303
"iota[23]",0.00257013387133336,0.972379987962484,-1.89762525,1.9724955,4924.89242740698,0.999542604531274
"iota[24]",0.222813937949333,0.95978477117335,-1.6572655,2.095791,4628.86870055979,0.999410752352443
"iota[25]",-0.401964172178633,0.81999273789514,-1.960171,1.3628515,4510.44340409557,1.00090068510699
"iota[26]",0.572469385371,0.907967566652554,-1.2918885,2.27766375,3656.41511255656,0.999549505891578
"iota[27]",-0.1910638313581,0.975643637250696,-2.12682,1.742912,5642.79739687874,0.999781179335987
"iota[28]",-0.234622935969667,1.00894871104168,-2.175281,1.7627325,4743.16301685438,0.999712751849518
"iota[29]",0.0637406679166667,0.964134278887913,-1.80071325,2.08020025,5211.72572192197,0.999479371969156
"iota[30]",0.1590431401873,0.996700733447206,-1.8005915,2.09542775,4346.82528847131,0.999617802222098
"iota[31]",0.440905469968667,0.925338917228445,-1.45679375,2.19289575,3870.90490677548,1.00030125511226
"iota[32]",-0.219635555861667,0.773436545080138,-1.70034475,1.34386425,3776.79066433706,0.999285849120786
"iota[33]",0.460855136958667,1.0067901857405,-1.58640225,2.4150095,3902.22302172143,1.00083552674527
"iota[34]",0.306299118344667,0.919344596139506,-1.50796075,2.05449575,4167.94462751632,1.00013534686576
"iota[35]",-0.00146646925300002,0.934966452256788,-1.8195945,1.8660015,5361.54314163589,0.999360998310201
"iota[36]",-0.285712480084333,1.0009045144363,-2.17755175,1.66916675,4289.8998936669,0.99971264744749
"iota[37]",-0.152896067050933,0.761947198875545,-1.59826075,1.37709625,5732.83630648213,0.999414391389649
"iota[38]",0.311638310792667,0.958542917116593,-1.58948225,2.2076,3915.57251408071,0.999414427217067
"iota[39]",-0.360892553964,0.93125579695026,-2.117056,1.5154275,3711.06124151563,1.00111108987684
"iota[40]",-0.485945000357667,0.763084624077307,-1.95579425,1.0634485,3857.06681552415,0.999778020289341
"sigma_i",0.181340795484067,0.121736617406409,0.00932054725,0.463624025,724.801700535801,1.00425950630306
"alpha",2.59692614666667,0.376727419135987,1.99121125,3.44405875,2575.55080591416,0.999672526425259
"beta",3.236991046,2.0122434226229,0.78226505,7.9258555,2042.30322610596,1.00001570289528
"gamma",2.19347104273333,2.36803980530454,0.3360346,9.17589275,2516.27300900868,1.00009937003693
"xi",0.767566758733333,0.253766937065624,0.27242655,1.248317,4648.68698930991,1.000021317858
"tau",-1.22188113266667,0.180787443698804,-1.57808375,-0.873279525,4582.1512504425,0.999524417904733
"sigma",0.759512618,0.0458150931860738,0.673579775,0.85345275,2810.37368594673,1.00076730700695
"phi[1]",-0.207346433365967,0.197168168798143,-0.634132375,0.1731456,3183.30339209391,0.99935995579683
"phi[2]",-0.0404872321636667,0.205833538063753,-0.4477552,0.424505625,2936.1445229839,0.999432001647094
"phi[3]",0.047559681112,0.256039812603607,-0.34263145,0.69549085,1746.29383322726,1.00025912284597
"phi[4]",-0.504690600226667,0.215680047493074,-0.936658975,-0.1002044,2903.60665315946,0.99982080200023
"phi[5]",-0.111521002692,0.197007712857179,-0.501300325,0.28642335,2162.91989491559,1.00005265029464
"phi[6]",-0.691651633746,0.347582549068326,-1.4567385,-0.0987898374999999,1990.35028059474,1.0006771213926
"phi[7]",-0.24572301813,0.242259113829875,-0.781631,0.22391975,3574.90699388041,1.00007981649477
"phi[8]",0.0143570264841667,0.234756982549132,-0.39131315,0.595867475,2452.86668804746,0.99974840088487
"phi[9]",-0.0380840623967333,0.188512815119225,-0.4348125,0.38127985,3341.43209525347,0.999807652201613
"phi[10]",-0.163085464023533,0.224877565833398,-0.668703525,0.2589483,3250.89353212203,0.999724055217786
"phi[11]",0.06651464615207,0.207714784938134,-0.2623079,0.5834299,2076.70134620686,1.00179022538917
"phi[12]",-0.220230962517333,0.237177281149412,-0.812163274999999,0.14034465,2018.95686444278,1.00080912466481
"phi[13]",-0.130116647136333,0.263113211317925,-0.590959825,0.474522825,2007.12462416982,1.00054939383351
"phi[14]",-0.3330156299937,0.260540839437852,-0.87635405,0.168893525,2922.80184061342,1.00046290737632
"phi[15]",-0.340218228771333,0.27415111280719,-0.855505775,0.25208115,2612.76749540578,1.00057323833427
"phi[16]",-0.38222009639,0.262917003548653,-0.959942575,0.0767047675,3008.96095642065,1.00018931642168
"phi[17]",-0.253599522723333,0.247498798340196,-0.843209324999999,0.16990465,2749.5174407844,1.00054013135849
"phi[18]",-0.181470194459,0.235647730375919,-0.66852435,0.3046137,3144.81266144137,0.999566847832865
"phi[19]",-0.294365997439667,0.272604598545033,-0.79557665,0.298561025,2462.62049846965,1.00007966104029
"phi[20]",-0.204341656567833,0.255728555961109,-0.6723338,0.3552645,2139.51509120913,0.999431949492034
"phi[21]",-0.0767487664264333,0.269033265766855,-0.519765975,0.55070485,1839.64653030535,1.00011914553381
"phi[22]",-0.118889194281333,0.213820334688769,-0.5475984,0.333774225,3291.31684986346,0.999795854403738
"phi[23]",-0.0302125915282,0.209605149451928,-0.464241925,0.440731675,3561.48847484862,1.00014258562043
"phi[24]",0.0327269919725,0.21810352804167,-0.375883325,0.57563725,2872.77812182296,1.00013504273511
"phi[25]",-0.244292517525467,0.186065904998382,-0.64633895,0.0708775000000003,2973.91918955122,1.00040693551031
"phi[26]",0.114425917101067,0.201422652114828,-0.18100715,0.60260695,1430.5488027457,1.00052993366015
"phi[27]",-0.236259451556333,0.241132863646511,-0.767286225,0.218857275,3122.36570268968,1.00092327525606
"phi[28]",-0.0862362367003333,0.220698182533355,-0.60573305,0.308437275,2870.07123627387,1.00009671347548
"phi[29]",-0.20348317669865,0.245562394255923,-0.682021399999999,0.320657025,2742.00163235592,0.999801239480075
"phi[30]",0.0315761830494667,0.211776321724384,-0.3488115,0.53823295,2889.19650649935,0.999319411893802
"phi[31]",-0.3474917379233,0.279136632110279,-0.8725411,0.235562025,1894.70745050123,1.00014126022371
"phi[32]",-0.204488283981037,0.171731437009442,-0.578602875,0.106232175,2974.20531665818,0.999475086373495
"phi[33]",-0.0735709232503333,0.261574846369851,-0.5334763,0.54856255,1815.8929620958,1.00064712763285
"phi[34]",-0.296248468416333,0.272731636927198,-0.79170655,0.2872576,2197.97099205003,1.00048448546724
"phi[35]",-0.219917459298333,0.231099981955172,-0.68278925,0.23894585,3189.79740299289,0.999769038601403
"phi[36]",-0.262245241811,0.25350921578634,-0.84068395,0.163815125,2568.35594579491,1.00049157528061
"phi[37]",-0.250941655768567,0.178348382202372,-0.625989575,0.0896328650000001,3113.39189173856,0.999937658355248
"phi[38]",-0.0604148405526,0.239710338808575,-0.4806878,0.5026575,2222.96888981781,0.999726112498012
"phi[39]",-0.117332947747567,0.194279520464896,-0.56622745,0.219889075,2547.10357551128,1.00169951001808
"phi[40]",-0.406415562882667,0.199908039410289,-0.8334655,-0.0454110749999999,2521.20660223177,1.00061970790988
"psi[1]",-0.234775386666667,0.0397735007994574,-0.312152175,-0.1561643,4475.73844401489,0.999569938887919
"psi[2]",-0.234775386666667,0.0397735007994574,-0.312152175,-0.1561643,4475.73844401489,0.999569938887919
"psi[3]",-0.234775386666667,0.0397735007994574,-0.312152175,-0.1561643,4475.73844401489,0.999569938887919
"psi[4]",-0.234775386666667,0.0397735007994574,-0.312152175,-0.1561643,4475.73844401489,0.999569938887919
"psi[5]",-0.234775386666667,0.0397735007994574,-0.312152175,-0.1561643,4475.73844401489,0.999569938887919
"psi[6]",-0.234775386666667,0.0397735007994574,-0.312152175,-0.1561643,4475.73844401489,0.999569938887919
"psi[7]",-0.234775386666667,0.0397735007994574,-0.312152175,-0.1561643,4475.73844401489,0.999569938887919
"psi[8]",-0.386757916666667,0.0565789103355302,-0.497186625,-0.27772425,4921.24036106767,0.999762025299849
"psi[9]",-0.394253853333333,0.0598938009231242,-0.5095374,-0.2776859,4916.41748434101,0.999800072452931
"psi[10]",-0.211486114,0.0441093075079428,-0.297117,-0.12373405,4400.53171556677,0.999650686707234
"psi[11]",-0.211486114,0.0441093075079428,-0.297117,-0.12373405,4400.53171556677,0.999650686707234
"psi[12]",-0.211486114,0.0441093075079428,-0.297117,-0.12373405,4400.53171556677,0.999650686707234
"psi[13]",-0.211486114,0.0441093075079428,-0.297117,-0.12373405,4400.53171556677,0.999650686707234
"psi[14]",-0.434656604833333,0.12540293861149,-0.6739896,-0.190745375,4685.22093373662,1.00001436957509
"psi[15]",-0.434656604833333,0.12540293861149,-0.6739896,-0.190745375,4685.22093373662,1.00001436957509
"psi[16]",-0.434656604833333,0.12540293861149,-0.6739896,-0.190745375,4685.22093373662,1.00001436957509
"psi[17]",-0.434656604833333,0.12540293861149,-0.6739896,-0.190745375,4685.22093373662,1.00001436957509
"psi[18]",-0.747972828666667,0.104370448342139,-0.953488175,-0.549419875,4664.11729467787,0.999519129036181
"psi[19]",-0.747972828666667,0.104370448342139,-0.953488175,-0.549419875,4664.11729467787,0.999519129036181
"psi[20]",-0.747972828666667,0.104370448342139,-0.953488175,-0.549419875,4664.11729467787,0.999519129036181
"psi[21]",-0.747972828666667,0.104370448342139,-0.953488175,-0.549419875,4664.11729467787,0.999519129036181
"psi[22]",-0.427566098766667,0.118796485598885,-0.66219785,-0.19333895,4366.18551924714,0.999743093436926
"psi[23]",-0.427566098766667,0.118796485598885,-0.66219785,-0.19333895,4366.18551924714,0.999743093436926
"psi[24]",-0.427566098766667,0.118796485598885,-0.66219785,-0.19333895,4366.18551924714,0.999743093436926
"psi[25]",-0.427566098766667,0.118796485598885,-0.66219785,-0.19333895,4366.18551924714,0.999743093436926
"psi[26]",-0.427566098766667,0.118796485598885,-0.66219785,-0.19333895,4366.18551924714,0.999743093436926
"psi[27]",-0.427566098766667,0.118796485598885,-0.66219785,-0.19333895,4366.18551924714,0.999743093436926
"psi[28]",-0.504819332333333,0.10585729744907,-0.710351325,-0.294337075,4399.34954140816,0.999652668084542
"psi[29]",-0.586907125,0.0847169029647097,-0.7551016,-0.42445975,4612.18186081898,0.999519888715518
"psi[30]",-0.586907125,0.0847169029647097,-0.7551016,-0.42445975,4612.18186081898,0.999519888715518
"psi[31]",-0.586907125,0.0847169029647097,-0.7551016,-0.42445975,4612.18186081898,0.999519888715518
"psi[32]",-0.572561108,0.0970867962996217,-0.7600426,-0.385488625,4881.78079623678,0.999880180367812
"psi[33]",-0.572561108,0.0970867962996217,-0.7600426,-0.385488625,4881.78079623678,0.999880180367812
"psi[34]",-0.572561108,0.0970867962996217,-0.7600426,-0.385488625,4881.78079623678,0.999880180367812
"psi[35]",0.0735418963013817,0.063865292304279,-0.0489749925,0.1972265,4510.18416149723,1.00000656379688
"psi[36]",0.0735418963013817,0.063865292304279,-0.0489749925,0.1972265,4510.18416149723,1.00000656379688
"psi[37]",-0.1534013123414,0.15912347714835,-0.4711127,0.166297525,4401.74745574836,0.999920379845847
"psi[38]",-0.1534013123414,0.15912347714835,-0.4711127,0.166297525,4401.74745574836,0.999920379845847
"psi[39]",-0.2346727219,0.067833300143558,-0.369115,-0.100979025,4364.58948974169,0.999753703251175
"psi[40]",-0.700791892333333,0.146976077917286,-0.9823062,-0.41791045,4795.49669876633,0.999965517122542
"psi[41]",-0.700791892333333,0.146976077917286,-0.9823062,-0.41791045,4795.49669876633,0.999965517122542
"psi[42]",-0.490736114666667,0.080777421315433,-0.6463129,-0.333043075,4892.81769136657,0.999861953329696
"psi[43]",-0.490736114666667,0.080777421315433,-0.6463129,-0.333043075,4892.81769136657,0.999861953329696
"psi[44]",-0.490736114666667,0.080777421315433,-0.6463129,-0.333043075,4892.81769136657,0.999861953329696
"psi[45]",-0.490736114666667,0.080777421315433,-0.6463129,-0.333043075,4892.81769136657,0.999861953329696
"psi[46]",-0.490736114666667,0.080777421315433,-0.6463129,-0.333043075,4892.81769136657,0.999861953329696
"psi[47]",-0.325711591333333,0.0481018532640564,-0.420504325,-0.232864925,4584.24140749617,0.999524002602889
"psi[48]",-0.325711591333333,0.0481018532640564,-0.420504325,-0.232864925,4584.24140749617,0.999524002602889
"psi[49]",-0.628022599333333,0.0841453253806528,-0.7964241,-0.460724475,4769.67913705157,0.999545228496809
"psi[50]",-0.628022599333333,0.0841453253806528,-0.7964241,-0.460724475,4769.67913705157,0.999545228496809
"psi[51]",-0.628022599333333,0.0841453253806528,-0.7964241,-0.460724475,4769.67913705157,0.999545228496809
