"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"iota[1]",-0.0590298657828667,0.983489357954816,-1.9512405,1.82260975,4064.28925612096,0.999530975794548
"iota[2]",-0.052977042962,0.769564517255196,-1.6424415,1.5082055,2816.48245456002,0.999833421598517
"iota[3]",-0.0270389653166667,0.985319906263146,-1.9581305,1.9085935,4350.06661756357,0.999668691686871
"iota[4]",0.013005583254,0.989708619858172,-1.91362425,1.9334555,2839.13119726625,0.999446215150899
"iota[5]",0.786830436609,0.807672972432093,-0.919012725,2.36024575,2550.51052997874,1.00136352829147
"iota[6]",-0.230829713962,0.888165179158275,-1.95950575,1.541281,3558.29404345527,0.999152105680383
"iota[7]",-0.096494239351,1.01060695103809,-2.09970025,1.92785125,3916.70596126024,0.999583792396848
"iota[8]",-0.0200693949966667,0.99060517857063,-1.94969,1.906176,3512.92490733782,0.999237599496688
"iota[9]",-0.03633695926,0.983370184818253,-1.93631075,1.9326215,3787.38246011737,0.999321345627072
"iota[10]",-0.0991420720199,0.947562135704526,-1.939122,1.771063,3368.94247075432,0.999943934097176
"iota[11]",0.00289218367503334,1.03380913621432,-2.02480625,2.01297725,3693.20527533498,1.00015892769654
"iota[12]",0.273388395629,0.971426080969453,-1.7038025,2.204658,2849.86645635575,1.00094925800372
"iota[13]",-0.0398484547407667,1.00529992838323,-2.01884275,1.956692,3779.14384859728,0.999299529007605
"iota[14]",-0.563057295527333,0.959681838083353,-2.417483,1.34952825,2890.9429955579,1.00023725633801
"iota[15]",-0.414887786978,0.92491971197146,-2.17216075,1.407138,3429.7254982923,0.999772172993021
"iota[16]",-0.053006647441,0.978398723321338,-1.91744275,1.797796,3324.67992286759,1.00035951539024
"iota[17]",-0.0438795135134333,0.971169731960402,-1.94097925,1.8600455,3409.02532503881,0.999825207380457
"iota[18]",0.351003945664667,1.00356140440409,-1.5952005,2.3226845,3026.51583385735,0.999755656269267
"iota[19]",-0.0849825385503333,0.999934482147704,-2.07188275,1.859985,3772.27896792606,1.00029704647986
"iota[20]",0.142072528374333,0.845562036721431,-1.6558085,1.77866,2149.31619097373,1.00105649743284
"iota[21]",-0.0292669942283,0.995920467818006,-2.00415325,1.9706065,3909.15734805608,0.999348235552065
"iota[22]",0.01500575372283,0.956523108520236,-1.8887555,1.9039295,3528.97758668885,0.999929627662808
"iota[23]",-0.012922859728,0.996023184899391,-2.010607,1.95286075,3082.52617122439,0.99975546206677
"sigma_i",0.466420014245333,0.391368957764494,0.022459815,1.404134,960.35930428515,1.00258855721887
"alpha",0.128185007873333,0.287314995130061,0.0044346325,1.03154675,1321.36626949276,1.00327620901197
"beta",1.03855914863333,1.52412587347856,0.082397745,5.08234325,1760.69933130681,1.0030567681097
"gamma",1.7374301242,1.37450437739131,0.18582935,5.256784,1468.9866398328,1.00410017220493
"xi",-0.484094614720667,0.374405855916332,-1.21224675,0.230595225,4074.0813755086,0.99952580857345
"phi[1]",-1.724392843162,1.76664964568135,-5.73303925,0.40513845,835.110189333426,1.00792017274855
"phi[2]",-1.46461408376403,1.56958597564338,-5.020562,0.413277425,800.350154120359,1.00778087971959
"phi[3]",-0.77591239500447,1.1204175051773,-3.5088525,0.69596125,1001.34851209594,1.00359846931232
"phi[4]",-2.005431830064,1.97392350260479,-6.3707985,0.406861750000001,819.489151445526,1.00816120168092
"phi[5]",-1.23954766235847,1.57973073129966,-4.73620175,0.851121325,847.669545043755,1.00803744714846
"phi[6]",-1.88331303594833,1.76407178371979,-5.83494425,0.19394925,778.339956422218,1.0083425180698
"phi[7]",-1.90014699155,1.90438371931423,-6.1379805,0.369771525,811.670238352894,1.0077878071928
"phi[8]",-1.920845917681,1.89736942485062,-6.20126775,0.42345205,810.669921976749,1.00680781726682
"phi[9]",-2.3817222784445,2.20289020784626,-7.25395525,0.2421096,801.826213592091,1.0084587962052
"phi[10]",-2.084169107195,1.98814747924886,-6.57781525,0.316654275,799.400169386084,1.00781375785382
"phi[11]",-2.22606330096633,2.13999966204486,-6.9893855,0.454004075000001,808.678886407116,1.00809408548485
"phi[12]",-1.82085148087757,1.86652082520755,-5.99591725,0.61862015,875.56920574632,1.00591718228643
